"OrderID","LineNo","ProductID","Quantity","UnitPrice","Discount"
"10402","2","63","65","18.94","0"
"10403","1","48","70","31.83","0.15"
"10403","2","16","21","10.15","0.15"
"10404","1","42","40","13.37","0.05"
"10404","2","49","30","19.82","0.05"
"10404","3","26","30","33.93","0.05"
"10405","1","3","50","18.48","0"
"10406","1","1","10","19.76","0"
"10406","2","40","2","18.93","0.1"
"10406","3","21","30","10.51","0.1"
"10406","4","36","5","7.88","0.1"
"10406","5","28","42","47.34","0.1"
"10407","1","69","15","2.11","0"
"10407","2","11","30","25.52","0"
"10407","3","71","15","32.33","0"
"10408","1","37","10","3.92","0"
"10408","2","62","35","31.11","0"
"10408","3","54","6","34.09","0"
"10409","1","21","12","10.96","0"
"10409","2","14","12","24.58","0"
"10410","1","33","49","25.96","0"
"10410","2","59","16","9.32","0"
"10411","1","44","40","68.72","0.2"
"10411","2","59","9","9.16","0.2"
"10411","3","41","25","9.24","0.2"
"10412","1","14","20","25.49","0.1"
"10413","1","76","14","414.96","0"
"10413","2","62","40","30.37","0"
"10413","3","1","24","21.01","0"
"10414","1","33","50","25.81","0"
"10414","2","19","18","8.8","0.05"
"10415","1","33","20","25.84","0"
"10415","2","17","2","22.67","0"
"10416","1","19","20","9.38","0"
"10416","2","57","20","18.74","0"
"10416","3","53","10","55.32","0"
"10417","1","46","2","12.62","0.25"
"10417","2","68","36","12.56","0.25"
"10417","3","77","35","13.3","0"
"10417","4","38","50","79.21","0"
"10418","1","47","55","25.65","0"
"10418","2","61","16","24.3","0"
"10418","3","2","60","19.41","0"
"10418","4","74","15","30.91","0"
"10419","1","69","20","1.87","0.05"
"10419","2","60","60","4.59","0.05"
"10420","1","70","8","31.37","0.1"
"10420","2","73","20","1.08","0.1"
"10420","3","9","20","36.68","0.1"
"10420","4","13","2","26.88","0.1"
"10421","1","26","30","31.86","0"
"10421","2","77","10","12.03","0.15"
"10421","3","19","4","9.14","0.15"
"10421","4","53","15","55.9","0.15"
"10422","1","26","2","28.33","0"
"10423","1","59","20","8.92","0"
"10423","2","31","14","7.69","0"
"10424","1","68","30","12.52","0.2"
"10424","2","38","49","86.2","0.2"
"10424","3","35","60","5.55","0.2"
"10425","1","55","10","36.04","0.25"
"10425","2","76","20","361.43","0.25"
"10426","1","64","7","33.32","0"
"10426","2","56","5","36.29","0"
"10427","1","14","35","24.33","0"
"10428","1","46","20","12.07","0"
"10429","1","50","40","17.15","0"
"10429","2","63","35","21.75","0.25"
"10430","1","17","45","22.54","0.2"
"10430","2","56","30","36.25","0"
"10430","3","21","50","10.26","0"
"10430","4","59","70","8.56","0.2"
"10431","1","47","30","26.99","0.25"
"10431","2","40","50","17.9","0.25"
"10431","3","17","50","25.37","0.25"
"10432","1","26","10","30.04","0"
"10432","2","54","40","34.12","0"
"10433","1","56","28","38.31","0"
"10434","1","11","6","26.13","0"
"10434","2","76","18","431.49","0.15"
"10435","1","22","12","3.75","0"
"10435","2","72","10","12.6","0"
"10435","3","2","10","20.05","0"
"10436","1","46","5","12.85","0"
"10436","2","75","24","7.18","0.1"
"10436","3","56","40","37.76","0.1"
"10436","4","64","30","36.34","0.1"
"10437","1","53","15","58.17","0"
"10438","1","57","15","20.3","0.2"
"10438","2","34","20","7.48","0.2"
"10438","3","19","15","9.52","0.2"
"10439","1","64","6","35.02","0"
"10439","2","12","15","10.22","0"
"10439","3","16","16","9.98","0"
"10439","4","74","30","32.85","0"
"10440","1","16","49","9.24","0.15"
"10440","2","2","45","20.22","0.15"
"10440","3","61","90","25.95","0.15"
"10440","4","29","24","129.15","0.15"
"10441","1","27","50","44.25","0"
"10442","1","11","30","30.64","0"
"10442","2","66","60","19.48","0"
"10442","3","54","80","36.42","0"
"10443","1","11","6","26.71","0.2"
"10443","2","28","12","43.52","0"
"10444","1","35","8","5.7","0"
"10444","2","41","30","9.19","0"
"10444","3","17","10","27","0"
"10444","4","26","15","30.97","0"
"10445","1","39","6","58.57","0"
"10445","2","54","15","35.32","0"
"10446","1","52","15","76.76","0.1"
"10446","2","19","12","9.26","0.1"
"10446","3","31","3","8.27","0.1"
"10446","4","24","20","4.21","0.1"
"10447","1","65","35","10.48","0"
