"OrderID","OrderDate","CustomerID","EmployeeID","ShipperID","Freight"
"10248","2010-06-29 00:00:00","4","2","2","43.48"
"10249","2009-06-29 00:00:00","79","7","2","29.2"
"10250","2010-07-03 00:00:00","34","2","2","79.17"
"10251","2009-12-02 00:00:00","1","7","2","43.41"
"10252","2010-04-04 00:00:00","76","5","1","23.2"
"10253","2010-07-05 00:00:00","34","3","2","66.54"
"10254","2009-01-06 00:00:00","19","2","2","49.18"
"10255","2010-06-07 00:00:00","68","6","1","43.89"
"10256","2009-07-09 00:00:00","19","3","2","22.56"
"10257","2009-07-10 00:00:00","35","9","2","33.98"
"10258","2010-07-12 00:00:00","17","7","2","68.14"
"10259","2008-07-13 00:00:00","13","3","2","30.11"
"10260","2009-12-13 00:00:00","56","8","2","56.99"
"10261","2010-07-14 00:00:00","61","2","2","63.78"
"10262","2007-05-17 00:00:00","65","2","2","33.19"
"10263","2010-07-18 00:00:00","63","7","2","30.64"
"10264","2009-07-18 00:00:00","17","7","2","54.09"
"10265","2009-07-19 00:00:00","7","5","1","28.57"
"10266","2010-07-21 00:00:00","87","8","2","32.72"
"10267","2010-01-23 00:00:00","25","8","2","49.7"
"10268","2007-07-25 00:00:00","33","3","2","69.28"
"10269","2008-04-26 00:00:00","89","3","2","54.26"
"10270","2010-07-27 00:00:00","87","7","2","21.29"
"10271","2007-12-07 00:00:00","37","2","2","62.31"
"10272","2008-05-28 00:00:00","65","3","2","40.25"
"10273","2009-09-29 00:00:00","63","7","2","78"
"10274","2010-08-01 00:00:00","85","5","1","35.09"
"10275","2009-08-01 00:00:00","73","9","2","29.81"
"10276","2007-10-03 00:00:00","80","1","3","22.95"
"10277","2010-08-04 00:00:00","1","7","2","77.65"
"10278","2007-08-07 00:00:00","5","2","2","50.46"
"10279","2009-08-07 00:00:00","44","7","2","46.34"
"10280","2007-12-09 00:00:00","5","3","2","38.06"
"10281","2009-08-08 00:00:00","69","4","1","21.86"
"10282","2009-08-09 00:00:00","69","5","1","22.03"
"10283","2010-08-11 00:00:00","46","2","2","66.34"
"10284","2009-08-13 00:00:00","44","7","2","65.41"
"10285","2008-08-15 00:00:00","63","8","2","71.59"
"10286","2007-06-16 00:00:00","63","8","2","42.17"
"10287","2007-06-17 00:00:00","67","2","2","70.97"
"10288","2009-08-17 00:00:00","66","6","1","77.13"
"10289","2009-08-20 00:00:00","1","8","2","25.25"
"10290","2010-08-22 00:00:00","1","7","2","58.77"
"10291","2007-08-22 00:00:00","61","2","2","21.08"
"10292","2009-08-22 00:00:00","81","2","2","78.59"
"10293","2010-06-24 00:00:00","80","1","3","76.28"
"10294","2010-04-25 00:00:00","19","2","2","35.17"
"10295","2010-08-28 00:00:00","79","7","2","71.49"
"10296","2007-07-02 00:00:00","46","2","2","22.4"
"10297","2010-04-29 00:00:00","7","4","1","52.73"
"10298","2007-08-31 00:00:00","37","2","2","78.52"
"10299","2009-08-31 00:00:00","67","3","2","73.71"
"10300","2007-09-04 00:00:00","49","6","1","71.44"
"10301","2009-09-03 00:00:00","37","9","2","21.92"
"10302","2008-04-05 00:00:00","32","1","3","48.81"
"10303","2010-04-06 00:00:00","30","5","1","63.01"
"10304","2009-04-06 00:00:00","80","1","3","69.84"
"10305","2010-09-08 00:00:00","80","1","3","66.61"
"10306","2010-12-11 00:00:00","69","5","1","67.37"
"10307","2008-09-12 00:00:00","48","1","3","60.66"
"10308","2009-09-12 00:00:00","2","2","2","52.09"
"10309","2009-03-13 00:00:00","37","3","2","71.58"
"10310","2008-04-15 00:00:00","32","1","3","37.33"
"10311","2010-09-15 00:00:00","18","6","1","22.76"
"10312","2009-04-17 00:00:00","37","3","2","76.68"
"10313","2009-09-18 00:00:00","63","7","2","66.69"
"10314","2009-04-19 00:00:00","73","3","2","49.41"
"10315","2009-05-20 00:00:00","38","9","2","28.88"
"10316","2008-09-22 00:00:00","23","6","1","38.95"
"10317","2008-04-25 00:00:00","48","1","3","24.58"
"10318","2010-09-26 00:00:00","73","9","2","58.04"
"10319","2009-01-27 00:00:00","80","1","3","54.41"
"10320","2009-09-27 00:00:00","87","8","2","44.05"
"10321","2010-04-28 00:00:00","38","3","2","39.56"
"10322","2010-09-29 00:00:00","58","7","2","24.83"
"10323","2007-12-02 00:00:00","39","3","2","73.01"
"10324","2009-05-02 00:00:00","19","2","2","42.61"
"10325","2008-05-04 00:00:00","39","3","2","43.29"
"10326","2009-10-04 00:00:00","8","5","1","65.69"
"10327","2007-12-06 00:00:00","19","3","2","65.53"
"10328","2009-06-08 00:00:00","28","5","1","20.61"
"10329","2007-12-10 00:00:00","75","1","3","75.98"
"10330","2009-12-10 00:00:00","46","3","2","30.44"
"10331","2009-10-10 00:00:00","9","5","1","70.49"
"10332","2010-10-12 00:00:00","51","1","3","22.5"
"10333","2010-04-13 00:00:00","87","7","2","56.23"
"10334","2009-07-15 00:00:00","84","5","1","41.01"
"10335","2009-04-16 00:00:00","37","9","2","46.91"
"10336","2009-10-17 00:00:00","60","4","1","30.45"
"10337","2007-04-19 00:00:00","25","8","2","76.43"
"10338","2007-10-20 00:00:00","1","8","2","52.33"
"10339","2007-10-23 00:00:00","51","1","3","58.76"
"10340","2009-05-23 00:00:00","32","1","3","63.37"
"10341","2010-10-24 00:00:00","73","3","2","30.83"
"10342","2010-10-25 00:00:00","25","7","2","77.29"
"10343","2008-01-26 00:00:00","44","8","2","60.85"
"10344","2007-10-27 00:00:00","89","2","2","22.69"
"10345","2010-11-28 00:00:00","63","7","2","68.67"
"10346","2009-10-30 00:00:00","37","9","2","23.56"
"10347","2007-11-01 00:00:00","21","2","2","28.29"
"10348","2010-05-02 00:00:00","86","7","2","34.34"
"10349","2009-11-02 00:00:00","1","7","2","79.64"
"10350","2007-12-06 00:00:00","37","3","2","67.66"
"10351","2007-11-06 00:00:00","42","1","3","65.12"
"10352","2010-12-07 00:00:00","28","5","1","57.21"
"10353","2010-11-08 00:00:00","59","5","1","33.28"
"10354","2010-05-09 00:00:00","58","7","2","25"
"10355","2010-04-10 00:00:00","37","3","2","75.77"
"10356","2009-01-13 00:00:00","86","7","2","43.26"
"10357","2007-06-14 00:00:00","46","2","2","65.97"
"10358","2010-04-15 00:00:00","82","1","3","61.24"
"10359","2009-05-15 00:00:00","72","9","2","59.44"
"10360","2010-01-16 00:00:00","7","5","1","26.24"
"10361","2010-11-28 00:00:00","63","7","2","55.52"
"10362","2007-11-20 00:00:00","44","8","2","40.91"
"10363","2010-02-20 00:00:00","17","8","2","36.54"
"10364","2007-11-21 00:00:00","19","2","2","33.65"
"10365","2007-11-22 00:00:00","3","2","2","35.04"
"10366","2007-11-23 00:00:00","29","4","1","23.84"
"10367","2010-02-22 00:00:00","79","7","2","56.88"
"10368","2007-11-24 00:00:00","73","3","2","67.63"
"10369","2007-11-27 00:00:00","75","1","3","57.37"
"10370","2008-04-28 00:00:00","32","1","3","29.05"
"10371","2007-11-28 00:00:00","41","4","1","66.09"
"10372","2010-07-30 00:00:00","62","2","2","30.16"
"10373","2010-11-30 00:00:00","37","9","2","25.5"
"10374","2007-05-31 00:00:00","91","8","2","45.53"
"10375","2007-12-01 00:00:00","23","6","1","70.91"
"10376","2009-07-03 00:00:00","51","1","3","76.39"
"10377","2007-12-04 00:00:00","32","1","3","49.19"
"10378","2009-12-04 00:00:00","24","7","2","56.37"
"10379","2007-12-10 00:00:00","61","2","2","62.83"
"10380","2010-12-12 00:00:00","37","9","2","77.11"
"10381","2007-12-17 00:00:00","46","2","2","45.81"
"10382","2007-12-18 00:00:00","19","3","2","72.13"
"10383","2010-04-20 00:00:00","82","1","3","57.13"
"10384","2007-12-25 00:00:00","5","2","2","66.07"
"10385","2010-05-28 00:00:00","75","1","3","53.13"
"10386","2010-03-28 00:00:00","21","2","2","67.33"
"10387","2010-01-12 00:00:00","73","9","2","37.76"
"10388","2008-08-14 00:00:00","37","3","2","44.7"
"10389","2009-01-15 00:00:00","19","9","2","59.24"
"10390","2008-06-18 00:00:00","32","1","3","21.89"
"10391","2008-12-18 00:00:00","17","8","2","38.41"
"10392","2008-12-19 00:00:00","59","4","1","75.33"
"10393","2008-07-20 00:00:00","73","9","2","70.25"
"10394","2008-12-20 00:00:00","36","1","3","31.84"
"10395","2008-12-21 00:00:00","35","3","2","51.87"
"10396","2010-07-22 00:00:00","25","7","2","52.14"
"10397","2010-08-20 00:00:00","60","5","1","33.73"
"10398","2008-10-25 00:00:00","71","3","2","27.57"
"10399","2009-03-25 00:00:00","79","7","2","43.68"
"10400","2008-05-27 00:00:00","19","9","2","49.41"
"10401","2008-12-07 00:00:00","82","1","3","35.9"
"10402","2008-04-28 00:00:00","20","4","1","46.63"
"10403","2008-09-28 00:00:00","20","4","1","26.43"
"10404","2008-04-19 00:00:00","49","6","1","72.73"
"10405","2008-01-01 00:00:00","47","2","2","75.65"
"10406","2009-04-01 00:00:00","62","2","2","73.88"
"10407","2008-01-02 00:00:00","56","8","2","55.48"
"10408","2008-12-03 00:00:00","23","6","1","71.84"
"10409","2008-04-04 00:00:00","54","3","2","56.3"
"10410","2008-01-05 00:00:00","10","1","3","25.49"
"10411","2010-12-05 00:00:00","10","1","3","61.5"
"10412","2008-06-08 00:00:00","87","8","2","37.28"
"10413","2008-12-09 00:00:00","41","5","1","64.69"
"10414","2008-01-09 00:00:00","21","3","2","73.13"
"10415","2008-01-10 00:00:00","37","3","2","29.01"
"10416","2008-12-11 00:00:00","32","1","3","22.48"
"10417","2010-01-10 00:00:00","73","9","2","29.88"
"10418","2009-01-12 00:00:00","63","7","2","64.34"
"10419","2009-01-15 00:00:00","44","7","2","67.45"
"10420","2010-01-15 00:00:00","37","9","2","79.18"
"10421","2008-03-16 00:00:00","61","2","2","31.83"
"10422","2008-01-17 00:00:00","27","6","1","65.54"
"10423","2008-06-18 00:00:00","31","2","2","49.89"
"10424","2009-06-17 00:00:00","51","1","3","70.35"
"10425","2008-11-19 00:00:00","41","4","1","23.12"
"10426","2010-02-21 00:00:00","29","5","1","26.05"
"10427","2008-06-22 00:00:00","59","4","1","50.46"
"10428","2010-02-22 00:00:00","66","6","1","65.62"
"10429","2008-04-24 00:00:00","37","9","2","48.41"
"10430","2009-03-24 00:00:00","44","7","2","68.53"
"10431","2008-02-25 00:00:00","32","1","3","56.71"
"10432","2008-01-26 00:00:00","23","6","1","64.82"
"10433","2008-03-29 00:00:00","60","4","1","62.95"
"10434","2008-10-29 00:00:00","23","6","1","79.13"
"10435","2008-02-27 00:00:00","16","2","2","29.06"
