OrderID,LineNo,ShipperID,CustomerID,ProductID,EmployeeID,ShipmentDate,Status
10248,1,2,4,42,2,7/17/2010 0:00,shipped
10248,2,2,4,72,2,7/17/2010 0:00,returned
10248,3,2,4,11,2,7/17/2010 0:00,ordered
10249,1,2,79,14,7,7/23/2009 0:00,replaced
10249,2,2,79,51,7,7/23/2009 0:00,returned
10250,1,2,34,51,2,7/21/2010 0:00,shipped
10250,2,2,34,41,2,7/21/2010 0:00,ordered
10250,3,2,34,65,2,7/21/2010 0:00,returned
10251,1,2,1,65,7,12/24/2009 0:00,shipped
10251,2,2,1,22,7,12/24/2009 0:00,shipped
10251,3,2,1,57,7,12/24/2009 0:00,replaced
10252,1,1,76,60,5,4/19/2010 0:00,ordered
10252,2,1,76,33,5,4/19/2010 0:00,returned
10252,3,1,76,20,5,4/19/2010 0:00,ordered
10253,1,2,34,31,3,7/27/2010 0:00,shipped
10253,2,2,34,39,3,7/27/2010 0:00,returned
10253,3,2,34,49,3,7/27/2010 0:00,replaced
10254,1,2,19,74,2,1/27/2009 0:00,ordered
10254,2,2,19,24,2,1/27/2009 0:00,ordered
10254,3,2,19,55,2,1/27/2009 0:00,returned
10255,1,1,68,59,6,6/22/2010 0:00,shipped
10255,2,1,68,2,6,6/22/2010 0:00,returned
10255,3,1,68,16,6,6/22/2010 0:00,shipped
10255,4,1,68,36,6,6/22/2010 0:00,ordered
10256,1,2,19,53,3,7/27/2009 0:00,returned
10256,2,2,19,77,3,7/27/2009 0:00,ordered
10257,1,2,35,77,9,7/27/2009 0:00,returned
10257,2,2,35,27,9,7/27/2009 0:00,replaced
10257,3,2,35,39,9,7/27/2009 0:00,returned
10258,1,2,17,32,7,8/3/2010 0:00,replaced
10258,2,2,17,2,7,8/3/2010 0:00,replaced
10258,3,2,17,5,7,8/3/2010 0:00,returned
10259,1,2,13,21,3,8/4/2008 0:00,shipped
10259,2,2,13,37,3,8/4/2008 0:00,returned
10260,1,2,56,70,8,12/29/2009 0:00,replaced
10260,2,2,56,62,8,12/29/2009 0:00,replaced
10260,3,2,56,41,8,12/29/2009 0:00,shipped
10260,4,2,56,57,8,12/29/2009 0:00,replaced
10261,1,2,61,35,2,8/7/2010 0:00,ordered
10261,2,2,61,21,2,8/7/2010 0:00,ordered
10262,1,2,65,7,2,6/5/2007 0:00,returned
10262,2,2,65,56,2,6/5/2007 0:00,returned
10262,3,2,65,5,2,6/5/2007 0:00,returned
10263,1,2,63,30,7,8/5/2010 0:00,returned
10263,2,2,63,16,7,8/5/2010 0:00,shipped
10263,3,2,63,24,7,8/5/2010 0:00,replaced
10263,4,2,63,74,7,8/5/2010 0:00,replaced
10264,1,2,17,2,7,8/4/2009 0:00,returned
10264,2,2,17,41,7,8/4/2009 0:00,replaced
10265,1,1,7,70,5,8/7/2009 0:00,shipped
10265,2,1,7,17,5,8/7/2009 0:00,returned
10266,1,2,87,12,8,8/12/2010 0:00,returned
10267,1,2,25,59,8,2/9/2010 0:00,shipped
10267,2,2,25,76,8,2/9/2010 0:00,replaced
10267,3,2,25,40,8,2/9/2010 0:00,replaced
10268,1,2,33,29,3,8/16/2007 0:00,returned
10268,2,2,33,72,3,8/16/2007 0:00,ordered
10269,1,2,89,72,3,5/11/2008 0:00,replaced
10269,2,2,89,33,3,5/11/2008 0:00,shipped
10270,1,2,87,36,7,8/19/2010 0:00,returned
10270,2,2,87,43,7,8/19/2010 0:00,returned
10271,1,2,37,33,2,12/30/2007 0:00,returned
10272,1,2,65,31,3,6/13/2008 0:00,ordered
10272,2,2,65,20,3,6/13/2008 0:00,replaced
10272,3,2,65,72,3,6/13/2008 0:00,returned
10273,1,2,63,76,7,10/17/2009 0:00,ordered
10273,2,2,63,40,7,10/17/2009 0:00,replaced
10273,3,2,63,33,7,10/17/2009 0:00,shipped
10273,4,2,63,31,7,10/17/2009 0:00,returned
10273,5,2,63,10,7,10/17/2009 0:00,returned
10274,1,1,85,72,5,8/18/2010 0:00,replaced
10274,2,1,85,71,5,8/18/2010 0:00,replaced
10275,1,2,73,24,9,8/22/2009 0:00,returned
10275,2,2,73,59,9,8/22/2009 0:00,replaced
10276,1,3,80,13,1,10/27/2007 0:00,shipped
10276,2,3,80,10,1,10/27/2007 0:00,ordered
10277,1,2,1,62,7,8/27/2010 0:00,shipped
10277,2,2,1,28,7,8/27/2010 0:00,replaced
10278,1,2,5,63,2,8/22/2007 0:00,ordered
10278,2,2,5,44,2,8/22/2007 0:00,ordered
10278,3,2,5,59,2,8/22/2007 0:00,replaced
10278,4,2,5,73,2,8/22/2007 0:00,returned
10279,1,2,44,17,7,8/30/2009 0:00,ordered
10280,1,2,5,75,3,1/1/2008 0:00,returned
10280,2,2,5,55,3,1/1/2008 0:00,returned
10280,3,2,5,24,3,1/1/2008 0:00,returned
10281,1,1,69,24,4,8/25/2009 0:00,returned
10281,2,1,69,35,4,8/25/2009 0:00,returned
10281,3,1,69,19,4,8/25/2009 0:00,replaced
10282,1,1,69,30,5,8/25/2009 0:00,replaced
10282,2,1,69,57,5,8/25/2009 0:00,replaced
10283,1,2,46,15,2,9/3/2010 0:00,shipped
10283,2,2,46,60,2,9/3/2010 0:00,ordered
10283,3,2,46,72,2,9/3/2010 0:00,ordered
10283,4,2,46,19,2,9/3/2010 0:00,shipped
10284,1,2,44,60,7,8/28/2009 0:00,shipped
10284,2,2,44,27,7,8/28/2009 0:00,ordered
10284,3,2,44,44,7,8/28/2009 0:00,returned
10284,4,2,44,67,7,8/28/2009 0:00,ordered
10285,1,2,63,40,8,9/4/2008 0:00,shipped
10285,2,2,63,53,8,9/4/2008 0:00,ordered
10285,3,2,63,1,8,9/4/2008 0:00,shipped
10286,1,2,63,62,8,7/2/2007 0:00,shipped
10286,2,2,63,35,8,7/2/2007 0:00,returned
10287,1,2,67,34,2,7/3/2007 0:00,returned
10287,2,2,67,16,2,7/3/2007 0:00,returned
10287,3,2,67,46,2,7/3/2007 0:00,ordered
10288,1,1,66,68,6,9/5/2009 0:00,returned
10288,2,1,66,54,6,9/5/2009 0:00,shipped
10289,1,2,1,3,8,9/5/2009 0:00,replaced
10289,2,2,1,64,8,9/5/2009 0:00,ordered
10290,1,2,1,77,7,9/8/2010 0:00,replaced
10290,2,2,1,29,7,9/8/2010 0:00,ordered
10290,3,2,1,49,7,9/8/2010 0:00,shipped
10290,4,2,1,5,7,9/8/2010 0:00,ordered
10291,1,2,61,51,2,9/7/2007 0:00,replaced
10291,2,2,61,44,2,9/7/2007 0:00,shipped
10291,3,2,61,13,2,9/7/2007 0:00,ordered
10292,1,2,81,20,2,9/11/2009 0:00,ordered
10293,1,3,80,75,1,7/13/2010 0:00,returned
10293,2,3,80,18,1,7/13/2010 0:00,shipped
10293,3,3,80,24,1,7/13/2010 0:00,shipped
10293,4,3,80,63,1,7/13/2010 0:00,ordered
10294,1,2,19,43,2,5/19/2010 0:00,replaced
10294,2,2,19,17,2,5/19/2010 0:00,ordered
10294,3,2,19,75,2,5/19/2010 0:00,shipped
10294,4,2,19,1,2,5/19/2010 0:00,shipped
10294,5,2,19,60,2,5/19/2010 0:00,shipped
10295,1,2,79,56,7,9/15/2010 0:00,shipped
10296,1,2,46,69,2,7/22/2007 0:00,returned
10296,2,2,46,16,2,7/22/2007 0:00,replaced
10296,3,2,46,11,2,7/22/2007 0:00,replaced
10297,1,1,7,72,4,5/16/2010 0:00,replaced
10297,2,1,7,39,4,5/16/2010 0:00,returned
10298,1,2,37,62,2,9/21/2007 0:00,returned
10298,2,2,37,59,2,9/21/2007 0:00,ordered
10298,3,2,37,2,2,9/21/2007 0:00,returned
10298,4,2,37,36,2,9/21/2007 0:00,shipped
10299,1,2,67,70,3,9/21/2009 0:00,returned
10299,2,2,67,19,3,9/21/2009 0:00,replaced
10300,1,1,49,68,6,9/19/2007 0:00,shipped
10300,2,1,49,66,6,9/19/2007 0:00,replaced
10301,1,2,37,40,9,9/19/2009 0:00,shipped
10301,2,2,37,56,9,9/19/2009 0:00,returned
10302,1,3,32,28,1,4/24/2008 0:00,returned
10302,2,3,32,43,1,4/24/2008 0:00,returned
10302,3,3,32,17,1,4/24/2008 0:00,shipped
10303,1,1,30,40,5,4/21/2010 0:00,ordered
10303,2,1,30,68,5,4/21/2010 0:00,shipped
10303,3,1,30,65,5,4/21/2010 0:00,ordered
10304,1,3,80,59,1,4/30/2009 0:00,ordered
10304,2,3,80,71,1,4/30/2009 0:00,replaced
10304,3,3,80,49,1,4/30/2009 0:00,replaced
10305,1,3,80,29,1,10/2/2010 0:00,ordered
10305,2,3,80,18,1,10/2/2010 0:00,shipped
10305,3,3,80,39,1,10/2/2010 0:00,replaced
10306,1,1,69,54,5,1/4/2011 0:00,ordered
10306,2,1,69,30,5,1/4/2011 0:00,returned
10306,3,1,69,53,5,1/4/2011 0:00,shipped
10307,1,3,48,68,1,10/4/2008 0:00,returned
10307,2,3,48,62,1,10/4/2008 0:00,replaced
10308,1,2,2,70,2,10/6/2009 0:00,replaced
10308,2,2,2,69,2,10/6/2009 0:00,replaced
10309,1,2,37,6,3,3/31/2009 0:00,ordered
10309,2,2,37,71,3,3/31/2009 0:00,returned
10309,3,2,37,42,3,3/31/2009 0:00,ordered
10309,4,2,37,43,3,3/31/2009 0:00,replaced
10309,5,2,37,4,3,3/31/2009 0:00,replaced
10310,1,3,32,62,1,5/6/2008 0:00,replaced
10310,2,3,32,16,1,5/6/2008 0:00,returned
10311,1,1,18,69,6,10/1/2010 0:00,replaced
10311,2,1,18,42,6,10/1/2010 0:00,returned
10312,1,2,37,53,3,5/5/2009 0:00,ordered
10312,2,2,37,43,3,5/5/2009 0:00,shipped
10312,3,2,37,28,3,5/5/2009 0:00,ordered
10312,4,2,37,75,3,5/5/2009 0:00,returned
10313,1,2,63,36,7,10/8/2009 0:00,replaced
10314,1,2,73,62,3,5/10/2009 0:00,replaced
10314,2,2,73,32,3,5/10/2009 0:00,ordered
10314,3,2,73,58,3,5/10/2009 0:00,replaced
10315,1,2,38,70,9,6/4/2009 0:00,replaced
10315,2,2,38,34,9,6/4/2009 0:00,ordered
